'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00955_-15.0_Oct30_14.21.58.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00956_-15.0_Oct30_14.22.08.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00957_-15.0_Oct30_14.22.17.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00958_-15.0_Oct30_14.22.27.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00959_-15.0_Oct30_14.22.36.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00960_-15.0_Oct30_14.22.45.tif', 'Edge of lamella', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00963_-15.0_Oct30_14.23.12.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00964_-15.0_Oct30_14.23.21.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00965_-15.0_Oct30_14.23.31.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00966_-15.0_Oct30_14.23.40.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00967_-15.0_Oct30_14.23.49.tif', 'Platinum', 'corrrect'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00968_-15.0_Oct30_14.23.59.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00969_-15.0_Oct30_14.24.08.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00970_-15.0_Oct30_14.24.18.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00971_-15.0_Oct30_14.24.27.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00972_-15.0_Oct30_14.24.37.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00973_-15.0_Oct30_14.24.46.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00974_-15.0_Oct30_14.24.56.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00975_-15.0_Oct30_14.25.05.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00976_-15.0_Oct30_14.25.15.tif', 'No cell', 'cannot fit'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00978_-15.0_Oct30_14.25.34.tif', 'Contamination', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00981_-15.0_Oct30_14.26.02.tif', 'Contamination', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00984_-15.0_Oct30_14.26.30.tif', 'Contamination', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00985_-15.0_Oct30_14.26.39.tif', 'Contamination', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00986_-15.0_Oct30_14.26.48.tif', 'Contamination', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00987_-15.0_Oct30_14.26.58.tif', 'Unclear', 'correct'
